date,open,high,low,volume,close
09/04/2013 15:14:34,1653,1654,1652.75,21345,1653.25
09/04/2013 18:59:21,1653,1655.25,1652.75,21795,1654.75
09/05/2013 1:22:12,1654.75,1655.75,1653,21551,1653.75
09/05/2013 2:47:35,1653.75,1656,1652,21545,1656
09/05/2013 3:44:18,1656,1656.5,1653.5,21537,1653.75
09/05/2013 4:14:26,1653.75,1654.25,1651,21577,1652.5
09/05/2013 5:25:35,1652.5,1653.25,1650.5,21581,1653
09/05/2013 6:33:22,1653,1654.5,1652,21560,1652.25
09/05/2013 7:33:55,1652.25,1654.5,1652.25,21558,1654
09/05/2013 7:52:32,1654,1656,1653.5,21536,1653.5
09/05/2013 8:15:03,1653.5,1654.75,1652.25,21559,1653.75
09/05/2013 8:30:01,1653.75,1654.5,1652,21554,1652.5
09/05/2013 8:31:48,1652.75,1652.75,1651.25,21576,1652.5
09/05/2013 8:34:56,1652.5,1654.75,1651.75,21568,1654.25
09/05/2013 8:37:18,1654.25,1655.75,1654.25,21499,1655
09/05/2013 8:41:36,1655,1656.25,1654.75,21235,1655.5
09/05/2013 8:45:27,1655.5,1657.5,1654.75,21855,1657.25
09/05/2013 8:47:59,1657.25,1658,1657,21498,1657.75
09/05/2013 8:52:48,1657.75,1658.25,1656.5,21513,1657
09/05/2013 8:58:39,1657,1657.75,1656.5,21510,1657.25
09/05/2013 9:03:46,1657.25,1658,1656.5,21506,1656.75
09/05/2013 9:08:31,1656.75,1657,1655.25,21525,1657
09/05/2013 9:15:20,1657,1657.25,1656,21516,1657.25
09/05/2013 9:24:11,1657.25,1657.75,1655.75,21512,1656.25
09/05/2013 9:31:55,1656.25,1657.25,1655.75,21504,1656
09/05/2013 9:34:16,1656,1656,1652.75,21544,1652.75
09/05/2013 9:38:43,1652.75,1654.5,1652.75,21469,1654
09/05/2013 9:43:31,1654,1654.75,1653.5,21643,1654.75
09/05/2013 9:49:34,1654.75,1655,1652.75,21554,1654.25
09/05/2013 9:55:08,1654.25,1655.75,1653.5,21538,1655.5
09/05/2013 9:59:58,1655.5,1655.5,1652.5,21549,1653
09/05/2013 10:04:55,1653,1654.5,1652.75,21552,1654
09/05/2013 10:11:42,1654,1655,1652.75,21554,1654.5
09/05/2013 10:19:28,1654.5,1654.75,1654,21535,1654.5
09/05/2013 10:26:43,1654.5,1654.5,1653,21566,1654.25
09/05/2013 10:34:16,1654.25,1655,1653.75,21545,1654.75
09/05/2013 10:42:08,1654.75,1656.25,1654.75,21520,1655.25
09/05/2013 10:54:22,1655.25,1656,1654.75,21545,1655.75
09/05/2013 11:07:43,1655.75,1656,1654.75,21532,1654.75
09/05/2013 11:17:47,1654.75,1655.25,1654,21543,1654.25
09/05/2013 11:32:44,1654.25,1655.25,1653.75,21544,1653.75
09/05/2013 11:52:24,1653.75,1655,1653.75,21538,1654.5
09/05/2013 12:08:20,1654.5,1655,1654,21521,1654.25
09/05/2013 12:21:44,1654.25,1654.75,1653.25,21584,1654.75
09/05/2013 12:43:23,1654.75,1655.5,1654.25,21524,1655.5
09/05/2013 12:55:35,1655.5,1656.25,1653.75,21544,1654
09/05/2013 13:05:54,1654,1654.75,1653.5,21550,1654.75
09/05/2013 13:28:53,1654.75,1655.5,1654.25,21533,1655
09/05/2013 13:45:47,1655,1655.75,1654.5,21526,1655.25
09/05/2013 13:56:04,1655.25,1656.75,1654.5,21537,1656
09/05/2013 14:10:51,1656,1656.25,1654.75,21533,1655
09/05/2013 14:29:07,1655,1655.5,1654,21544,1654.75
09/05/2013 14:38:45,1654.75,1655,1653.25,21552,1654.25
09/05/2013 14:51:03,1654,1654.75,1653,21552,1653.75
09/05/2013 14:58:00,1653.75,1654,1653,21563,1653.5
09/05/2013 14:59:59,1653.75,1653.75,1652.75,21549,1653
09/05/2013 15:00:26,1653,1653.25,1652.5,21570,1653
09/05/2013 15:06:18,1653,1653.25,1652.5,21572,1653.25
09/05/2013 15:40:48,1653.25,1653.5,1652.5,21558,1652.75
09/05/2013 20:26:02,1652.75,1654,1648.5,21592,1649
09/06/2013 1:14:09,1649.25,1652.75,1649,21587,1652.25
09/06/2013 2:39:27,1652.25,1655.75,1652,21534,1653.5
09/06/2013 3:54:07,1653.5,1654.25,1652,21577,1653
09/06/2013 5:43:46,1653,1654,1652,21563,1653
09/06/2013 6:43:11,1653,1656,1652.75,21548,1655.75
09/06/2013 7:08:18,1655.75,1658,1655,21518,1658
09/06/2013 7:25:33,1658,1659.5,1658,21487,1659.25
09/06/2013 7:30:56,1659.25,1659.75,1656.25,21499,1657.5
09/06/2013 7:32:21,1657.5,1662.25,1657.25,21470,1661.75
09/06/2013 7:33:45,1661.75,1663.5,1660.75,21432,1662
09/06/2013 7:36:25,1662,1662.25,1659.5,21469,1661.75
09/06/2013 7:42:30,1661.75,1662,1658.25,21479,1660.5
09/06/2013 7:51:33,1660.5,1661.5,1658.75,21461,1661
09/06/2013 7:58:11,1661,1662.75,1660.5,21435,1662.5
09/06/2013 8:14:01,1662.5,1662.75,1659.75,21475,1660
09/06/2013 8:28:40,1660,1660.75,1659,21472,1659.5
