"","ForeignInvestment","ElectricityAccess","RenewableEnergy","CO2Emission","Inflation","MobileSubscriptions","InternetUse","Exports","Imports","GDP","MortalityMale","MortalityFemale","BirthRate","DeathRate","MortalityInfant","LifeExpectancy","FertilityRate","PopulationGrowth","UrbanPopulation"
"55",13.3026104042515,100,25.1298919417513,13.5996890666366,2.975580329,124.075258501226,74.1,75.0782302117066,68.7219213334967,14638.6048173457,67.783,203.142,11.9,11.9,3.6,75.4292682926829,1.72,-0.22805796852935,68.094
"56",0.963030625359937,25.0334053039551,94.5173902874428,0.0750938597422405,8.136941131,7.81504143488448,0.75,18.6947489614938,34.1819652444561,341.309909200504,242.618,290.016,34.831,8.388,53.7,61.625,4.924,2.64159447665885,17.319
"57",4.93399786340516,100,33.5820641792945,11.5752816522205,1.210357625,156.361179041564,86.89,38.6777124532336,37.4120791020844,46202.4151628454,53.644,120.376,11.4,9.5,2.5,79.8707317073171,1.87,0.457494535465831,83.558
"58",11.3407304760056,89.5492858886719,29.6124872521696,1.4199790685505,3.680014831,81.1582068724926,20,57.8377591762458,63.8930956897042,3651.96678405546,148.514,245.086,21.574,6.632,20.4,69.267,2.669,0.932645433767047,51.828
"59",1.46967580529896,100,11.8458733047694,5.42898086189895,1.529639382,91.6833077515988,77.28,26.0432298330582,27.9252091963847,40703.3459209005,53.63,115.614,12.9,8.5,3.5,81.6634146341463,2.03,0.49402976972961,78.345
"60",3.47527275979378,84.9298858642578,85.8833735373094,2.93322440419215,1.461544027,98.1581626742917,13,57.6634924081172,31.4941748387853,8754.11392185095,269.404,283.415,31.859,9.159,41.7,62.893,4.083,3.31338623417802,85.697
"61",2.73370795528774,100,3.63891826187997,7.85783648614987,3.285714286,121.203053831005,85,28.2140951479134,30.8198676226061,38893.0184937365,57.424,91.091,12.9,8.9,4.4,80.4024390243902,1.92,0.783888646646516,81.302
"62",7.46756794212404,99.4956359863281,39.1485729934275,1.60839887926643,7.110178975,94.0113586603464,26.9,34.9511329507487,52.7644643099888,2964.47703373088,80.263,225.605,14.231,12.476,14.7,72.649,1.918,-1.31580845775111,52.869
"63",7.85506708457028,65.0408096313477,49.7787862567583,0.40616280838234,10.70756812,71.1360762829662,7.8,29.4767179831573,45.901097808525,1312.60755731025,240.439,277.907,33.333,9.148,50.2,60.924,4.273,2.51282973900612,50.713
"64",1.47707235191411,25.8176708221436,75.7090704106443,0.241201500439589,15.46198107,37.0570409767495,1,19.2508117069631,29.3664415411787,635.671485240139,275.2,306.4,38.588,11.147,69.8,56.765,5.336,2.22621161386768,34.856
"65",3.90215621752436,40.197135925293,54.7051488341729,0.255713888079596,5.048936576,87.3650606418229,9.2,23.7836406503053,42.7151651380207,562.482515877715,248.045,301.885,42.116,9.03,48.6,59.622,5.707,3.15714056163095,56.297
"66",3.084783971806,6,87.8071288610203,0.153196261922513,2.517851402,43.5358125305293,2.45,19.9141528839637,35.2360795690998,546.721668646992,262.69,312.55,39.254,11.993,72.4,55.05,5.049,2.50113254815474,45.221
"67",16.7745065497499,65.4586181640625,5.95110181811416,4.91964285714286,7.78916548,41.9817391158065,6,85.7584331985967,58.9097918026514,17136.4456757583,308.53,351.039,37.418,11.361,78.7,55.908,5.209,4.51562162024935,39.223
"68",0.178275809083216,100,11.0929826096158,7.54018386811447,4.712981576,107.397436922315,44.4,22.1022051218367,30.726892810869,26917.7589787254,45.639,107.364,10.3,9.8,3.2,80.3878048780488,1.48,0.128880432668041,76.292
"69",7.83652606669152,89.5708541870117,10.4963458553586,2.48724170543672,3.436509059,116.497415860218,27,23.8337788974806,49.2297487840597,7365.6666592364,106.121,196.69,19.447,7.448,12.9,72.618,2.24,0.364640812121368,35.681
"70",2.04554168377095,84.2042083740235,66.5852359697893,0.797292859116729,3.859509098,123.495933164448,10.5,25.8056284412208,36.3092700559001,2825.52406953376,125.029,230.167,27.688,5.145,29.1,71.494,3.375,2.1710395705368,49.323
"71",8.09699199208935,100,0,18.4279131503092,2.16338211858058,121.26438516583,54.04,17.2829417773238,55.5464759959142,30700.4340081784,52.481,89.614,17.669,4.785,9.52095600289312,78.134,2.472,0.133678532498092,94.099
"72",8.71009232896243,80.2581329345703,33.8414156519498,2.30367581266509,2.086666667,75.0642952437593,29.9,51.3847184117863,79.107169860232,3044.94912901667,176.41,256.887,21.056,7.873,30.7,66.022,2.655,0.115664355776001,28.239
"73",36.1747620158536,100,0.834900883759309,5.79112653398252,2.25,196.345837376504,72,205.322597352297,199.447963556362,32549.998231121,38.216,73.205,12.6,6,5.9952155643373,82.9780487804878,1.127,0.734446396338105,100
"74",3.0609654948569,80.984668,53.1553646884745,0.973269196554196,4.700549929,115.989365422712,11.09,45.7589061967483,63.6829320449336,1932.85828999689,127.292,180.532,24.655,4.86,19.9,72.446,2.871,1.96875093883153,51.696
"75",2.3868233056147,100,29.7750473065786,4.56613105086015,1.030555053,113.867324006337,56.55,37.7374427782657,38.1601876876916,13505.7458630323,60.026,143.178,9.8,11.8,4.7,76.4756097560976,1.55,-0.255390215675652,57.537
"76",2.68778986484462,35.9385185241699,79.0248432432757,0.212694146185799,5.696511023,40.0015320586778,8.37,15.3420839701519,64.7490934699871,662.279518162433,231.035,293.377,26.659,9.23,85.2,61.296,3.325,1.47840089583663,52.016
"77",-15.9892195450549,100,13.4560288300338,5.02231164868321,4.881345076,120.99130324421,65,81.8294403528221,76.5232575142796,13092.2337567695,94.864,218.889,9,13,5.1,74.2073170731707,1.25,-0.226013875689698,68.859
"78",2.02517913834177,94.15,37.7534203392792,1.76790787941536,5.1327549,87.1213273081293,10.92,24.2990309366408,22.4022429392329,3113.48063451433,154.894,213.184,20.862,7.115,27.5,68.15,2.483,1.32140494165303,49.924
"79",1.65378502239604,76.3,39.4815087312075,1.39700890564172,11.99229692,61.1049389725968,7.5,22.5904459041009,27.0984453508588,1345.77015320886,157.929,225.258,21.408,7.534,45.5,66.625,2.601,1.36679795698174,30.93
"80",17.0143762419182,100,5.27353814314154,8.78361393417548,-0.946166395,101.61113378034,69.85,103.110913531036,86.4792573243448,48671.8882936068,50.789,86.762,16.5,6.1,3.5,80.7439024390244,2.05,0.544884384079014,61.84
"81",0.749168626265359,99.1287078857422,0.897453786451368,7.68472866152124,10.13714717,72.4870164970372,15.9,24.399653282909,19.3709904542309,6531.9274296787,76.814,131.23,18.347,4.93,16.5,73.932,1.765,1.18708425639044,70.626
"82",1.00796493975113,98.4866027832031,1.70963705456244,3.64712877455071,2.877747253,75.625375028025,2.5,39.41682921428,34.0806504059643,4502.74904825726,135.99,215.885,34.891,5.578,30.2,68.465,4.562,2.86233481026105,69.034
"83",1.93066953611027,100,75.4196918406966,6.16852858593703,5.393595958,106.47742314128,93.39,53.441509062527,43.2870893565766,41851.7354772988,36.335,70.518,15.4,6.4,2,81.8975609756097,2.2,-0.143903000294037,93.624
"84",2.98990380934266,100,8.50335499959035,9.03522325410567,2.69295911,122.691224123376,67.5,34.9911729724195,32.899734961648,30642.9406174863,42.947,77.069,21.8,5.2,3.7,81.6024390243903,3.03,1.82675240987847,91.824
"85",0.467633055420939,100,12.7940929982975,6.83837457020099,1.539893392,156.816324552999,53.68,25.1882111380109,27.1573862373946,35849.3731979401,40.159,73.011,9.5,9.9,3.4,82.0365853658537,1.46,0.30759122234095,68.327
"86",1.40828244654058,92.7145462036133,13.7199666602969,2.5902683860983,12.60950824,112.948448997412,27.67,31.3378491627382,49.5892116326563,4682.52124815387,105.783,174.132,17.794,6.862,15.6,74.883,2.173,0.467082082457756,53.743
"87",6.38929090969812,99.5734558105469,2.97312559922771,2.94896155736461,5.013941643,92.1698766009643,27.2,49.875814085468,54.0797952443225,3679.19027463278,98.4,132.986,28.975,3.867,18,73.412,3.663,5.16091019202536,82.473
"88",0.130541249192103,100,4.58552956180109,9.14831603810416,-0.719979429,95.9045730901175,78.21,15.0367569834071,13.5762507297335,44507.6763859172,41.383,82.682,8.5,9.5,2.4,82.8426829268293,1.39,0.0179605415195644,90.522
"89",5.03630628288047,99.6371231079102,1.38236338460658,15.2282588310532,7.115813597,118.315924116237,31.6,44.2441794984735,29.8940863973107,9070.64997199985,137.893,336,22.54,8.97,19.1,68.2953658536585,2.6,1.41224046867424,53.732
"90",0.445165309313035,19.2,76.2731232275273,0.294423101516048,3.961388891,60.3840367987039,7.2,20.6572048536886,33.5702415138228,967.340077341325,245.325,318.03,35.091,7.273,42.5,62.936,4.373,2.72840571240366,23.571
"91",9.860930706632,99,25.5947877745323,1.1718730152903,7.967722256,97.2915737254988,16.3,51.5543226756177,81.6785278167149,880.037775119109,123.804,273.822,26.8,6.6,26.1,69.3,3.1,1.19286442880631,35.303
"92",11.9385220043413,31.1,68.5184675188782,0.3503305671918,3.99623008,56.9635341756157,1.26,54.0827827917917,59.5209354442356,785.692884137826,164.488,224.738,25.503,6.512,37.8,66.555,2.875,1.53904513328844,19.81
"93",-4.30757237219502,63.1677367075983,3.46460479841843,0.607284806920469,4.52698332043232,10.3212796633285,9.07,13.3158070488937,79.894842293362,1493.16051003948,166.838,247.719,29.463,7.134,48.2,65.354,3.843,2.05105113450242,43.773
"94",16.4916234292764,97.752555847168,0.99249094317003,4.27680046651764,0.50550031,155.50588006609,63,30.0986818516959,52.102010909665,13704.2544536956,81.3517297788473,164.728378666325,17.8797798100236,5.63039807942276,9.8,74.1539544439163,2.03221537109011,1.09254392201555,31.806
"95",0.867739217755677,100,1.31495350279791,11.4363166269633,2.939181359,102.450688260041,83.7,49.4194931194618,46.2345926841528,22086.9529193201,42.825,104.285,9.4,5.1,3.5,80.1170731707317,1.226,0.49822508440111,81.936
"96",1.13033982636588,100,0,29.8941513627208,4.496402878,132.722976648745,61.4,66.6735189288705,30.3545138773425,38497.6169579293,61.508,96.781,19.616,2.545,9.2,73.979,2.215,6.16125114017792,98.263
"97",3.91153218968315,70.2431106567383,71.5085793947307,0.262420284476794,5.982348385,64.0925294023285,7,35.3840260381926,49.3363118534743,1141.12711507419,195.219,238.84,26.715,7.366,58.5,64.357,3.149,1.52020420325314,33.123
"98",11.1398293271975,99.9488067626953,5.20363204353897,4.6222820517018,3.989841464,66.0265368361324,43.68,35.7936408071922,60.2351413279115,8858.28397743868,56.078,79.325,13.535,4.6,8.8,78.43,1.614,3.61493897040946,87.183
"99",34.9921360249379,5.14613103866577,89.2054669015124,0.200619787873991,7.291036635,39.7988412220991,2.3,19.1390775147558,92.6353513131576,327.420509735634,248.248,286.636,37.167,9.348,65.2,59.631,5.023,3.52106240624552,47.801
"100",2.38587375822134,98.5515365600586,1.56833080600608,10.043749858165,2.799895001,176.685891388427,14,65.6049745046082,42.0974842435311,12120.5621692062,100.697,170.062,21.434,4.909,14.2,71.643,2.412,0.782530353839159,77.642
"101",8.77711711393492,94.2,2.20403552348605,2.3372928496929,3.250344092,114.852242438289,32.5,44.0580816255548,56.9785048662344,8007.69648429285,115.55,174.587,13.028,6.896,13.5,74.465,1.538,0.906869388208226,18.45
