Date,Open,High,Low,Close,Adj Close,Volume
2018-11-28,271.609985,276.630005,270.519989,276.630005,268.929565,5484700
2018-11-29,275.779999,277.630005,274.489990,276.070007,268.385162,4901300
2018-11-30,275.859985,278.380005,275.500000,278.000000,270.261414,7603600
2018-12-03,282.429993,282.579987,279.589996,281.369995,273.537628,5885800
2018-12-04,280.489990,280.929993,271.940002,272.529999,264.943665,6727800
2018-12-06,267.920013,271.970001,264.359985,271.820007,264.253479,8536300
2018-12-07,271.450012,273.269989,264.589996,265.600006,258.206604,6089100
2018-12-10,265.339996,267.119995,260.510010,266.000000,258.595459,8522700
2018-12-11,269.609985,269.820007,264.410004,266.049988,258.644073,4526500
2018-12-12,269.480011,270.940002,267.350006,267.489990,260.043976,3879400
2018-12-13,268.440002,269.459991,266.070007,267.239990,259.800903,5215800
2018-12-14,264.899994,265.970001,261.750000,262.399994,255.095673,6080500
2018-12-17,259.980011,261.109985,253.940002,255.649994,249.906906,9320600
2018-12-18,257.670013,258.350006,253.710007,255.619995,249.877579,10267600
2018-12-19,255.589996,259.829987,249.729996,251.740005,246.084763,13166500
2018-12-20,250.220001,251.940002,244.979996,247.429993,241.871552,13684400
2018-12-21,248.550003,251.410004,241.720001,242.350006,236.905701,14262700
2018-12-24,240.800003,242.000000,236.039993,236.089996,230.786301,6419000
2018-12-26,237.729996,247.889999,235.460007,247.669998,242.106171,13154100
2018-12-27,244.330002,250.070007,240.669998,250.059998,244.442474,12693600
2018-12-28,251.029999,252.880005,247.949997,249.330002,244.043137,10856300
2018-12-31,251.039993,251.630005,248.990005,251.610001,246.274796,10117800
2019-01-02,247.539993,252.699997,247.419998,251.720001,246.382462,5980000
2019-01-03,249.789993,250.029999,245.080002,245.429993,240.225845,5831100
2019-01-04,249.059998,254.589996,248.639999,254.059998,248.672836,6430100
2019-01-07,254.240005,257.459991,253.210007,255.770004,250.346588,5961000
2019-01-08,258.380005,258.820007,255.520004,258.290009,252.813156,5348500
2019-01-09,259.089996,260.480011,257.720001,259.489990,253.987671,4097000
2019-01-10,257.820007,260.700012,257.079987,260.510010,254.986084,4325600
2019-01-11,259.239990,260.519989,258.570007,260.369995,254.849030,5111600
2019-01-14,258.399994,259.809998,257.950012,259.109985,253.615768,3709900
2019-01-15,259.369995,262.200012,259.369995,261.910004,256.356415,3781800
2019-01-16,262.359985,263.519989,262.160004,262.600006,257.031769,4387500
2019-01-17,261.619995,265.459991,261.519989,264.529999,258.920837,4446800
