MBS DATA,,,,,,,,,,
Trade date,Contractual settlement date,Trade amount,Agency,Coupon,Term,CUSIP,Transaction category,Price,Primary dealer,Investment manager
Jan 8 2009,Jan 13 2009,250.0,FNMA,6.0,30 YR,01F06061,Purchase,103.97,"Merrill Lynch, Pierce, Fenner & Smith Incorporated",PIMCO
Jan 8 2009,Mar 18 2009,100.0,GNMA,4.5,30 YR,01N04263,Purchase,102.14,"Merrill Lynch, Pierce, Fenner & Smith Incorporated",PIMCO
Jan 8 2009,Jan 13 2009,250.0,FNMA,6.0,30 YR,01F06061,Purchase,103.91,BNP Paribas Securities Corp.,PIMCO
Jan 8 2009,Jan 13 2009,400.0,FHLMC,4.5,30 YR,02R04261,Purchase,102.42,Citigroup Global Markets Inc.,PIMCO
Jan 8 2009,Jan 13 2009,50.0,FNMA,4.5,30 YR,01F04261,Purchase,102.63,Cantor Fitzgerald & Co.,PIMCO
Jan 8 2009,Mar 12 2009,300.0,FNMA,4.0,30 YR,01F04063,Purchase,100.52,Credit Suisse Securities (USA) LLC,PIMCO
Jan 8 2009,Jan 13 2009,250.0,FHLMC,4.5,30 YR,02R04261,Purchase,102.42,Credit Suisse Securities (USA) LLC,PIMCO
Jan 8 2009,Mar 17 2009,200.0,FHLMC,4.0,15 YR,02R04043,Purchase,101.44,Deutsche Bank Securities Inc.,PIMCO
Jan 8 2009,Mar 12 2009,350.0,FNMA,4.0,30 YR,01F04063,Purchase,100.44,J.P. Morgan Securities LLC,PIMCO
Jan 8 2009,Jan 13 2009,350.0,FNMA,5.0,30 YR,31402RJV,Purchase,103.50,J.P. Morgan Securities LLC,PIMCO
Jan 8 2009,Mar 17 2009,200.0,FHLMC,4.0,15 YR,02R04043,Purchase,101.70,Morgan Stanley & Co. Incorporated,PIMCO
Jan 8 2009,Feb 12 2009,200.0,FHLMC,4.5,30 YR,02R04262,Purchase,102.13,Morgan Stanley & Co. Incorporated,PIMCO
Jan 9 2009,Mar 12 2009,250.0,FNMA,4.0,30 YR,01F04063,Purchase,100.64,Barclays Capital Inc.,Goldman Sachs Asset Management
Jan 9 2009,Mar 12 2009,250.0,GNMA,4.5,30 YR,01N04263,Purchase,102.14,Barclays Capital Inc.,Goldman Sachs Asset Management
Jan 9 2009,Mar 17 2009,100.0,FHLMC,4.0,15 YR,02R04043,Purchase,101.29,"Merrill Lynch, Pierce, Fenner & Smith Incorporated",Goldman Sachs Asset Management
