       Date      Stock 
                Volume 
   19310904    1194802 
   19310908    2044160 
   19310909    2024210 
   19310910    1504870 
   19310911    1974460 
   19310912     761235 
   19310914    2448670 
   19310915    2165090 
   19310916    1977909 
   19310917    2420180 
   19310918    2896990 
   19310919    2437553 
   19310921    4396225 
   19310922    2052000 
   19310923    2932610 
   19310924    3051312 
   19310925    2849350 
   19310926     685695 
   19310928    1485510 
   19310929    2901558 
   19310930    3207254 
   19311001    3638403 
   19311002    2553790 
   19311003    1029490 
   19311005    3191310 
   19311006    4304519 
   19311007    2823238 
   19311008    2873912 
   19311009    3216490 
   19311010     826378 
   19311013    1249297 
   19311014    1636475 
   19311015    1375700 
   19311016    1420773 
   19311017     627550 
   19311019     859075 
   19311020    2512981 
   19311021    2242420 
   19311022    1392750 
   19311023    1328598 
   19311024     757650 
   19311026    1185956 
   19311027    1391530 
   19311028    1773742 
   19311029    1343431 
   19311030    1555900 
   19311031     805175 
   19311102    1458358 
   19311104    1476065 
   19311105    1523817 
   19311106    2275912 
   19311107    2040670 
   19311109    3047293 
   19311110    1750052 
   19311111    1491401 
   19311112    1441972 
   19311113    1794382 
   19311114    1134175 
   19311116    1512155 
   19311117    1461260 
   19311118    1673009 
   19311119    1509356 
   19311120    2042627 
   19311121     873568 
   19311123    1349056 
   19311124    1246781 
   19311125    1494995 
   19311127    1824195 
   19311128     931600 
   19311130    2002509 
   19311201    2032234 
   19311202    1886808 
   19311203    1800924 
   19311204    1920994 
   19311205     872400 
   19311207    1457085 
   19311208    1597128 
   19311209    2263447 
   19311210    2664173 
   19311211    2354197 
   19311212    1539838 
   19311214    2884991 
   19311215    2632272 
   19311216    1955820 
   19311217    2942641 
   19311218    3621879 
   19311219    1626661 
   19311221    1924996 
   19311222    1397038 
   19311223    1560487 
   19311224    1106103 
   19311228    2003040 
   19311229    2439895 
   19311230    2112067 
   19311231    1508700 
   19320102     721990 
   19320104    1513365 
   19320105    1418619 
   19320106    1837910 
   19320107    2179369 
   19320108    1969650 
   19320109    1151510 
   19320111    1796896 
   19320112    1364182 
   19320113    2067510 
   19320114    2647590 
   19320115    1634510 
   19320116     733315 
   19320118    1383440 
   19320119    1090025 
   19320120    1211715 
   19320121    1240168 
   19320122    1561404 
   19320123     835120 
   19320125     828780 
   19320126     763763 
   19320127    1278652 
   19320128    1116200 
   19320129    1527945 
   19320130     488755 
   19320201    1516486 
   19320202    1118492 
   19320203     808179 
   19320204     674726 
   19320205    1082920 
   19320206     660300 
   19320208    1150924 
   19320209    1156241 
   19320210    1303048 
   19320211    2563411 
   19320213    2626200 
   19320215    1976164 
   19320216    2502180 
   19320217    2185798 
   19320218    1681935 
   19320219    2430612 
   19320220     704660 
   19320223    1281133 
   19320224    1082900 
   19320225    1034519 
   19320226     894224 
   19320227     400675 
   19320229     880540 
   19320301     732745 
   19320302    1762693 
   19320303    1720250 
   19320304    1513032 
   19320305    1162617 
   19320307    1583319 
   19320308    1637883 
   19320309    1330810 
   19320310    1048890 
   19320311    1258130 
   19320312     647630 
   19320314    2034395 
   19320315    1468680 
   19320316    1464234 
   19320317    1772423 
   19320318    1406500 
   19320319     826850 
   19320321     889940 
   19320322    1080120 
   19320323     841088 
   19320324     837600 
   19320326    1055920 
   19320328    1353140 
   19320329    1113702 
   19320330    1006888 
   19320331    1482020 
   19320401    1529930 
   19320402    1045990 
   19320404    1614030 
   19320405    1483230 
   19320406    2094706 
   19320407    1795077 
   19320408    2126005 
   19320409    1148113 
   19320411    1695154 
   19320412    1553050 
   19320413    1096990 
   19320414    1724350 
   19320415    1541574 
   19320416     579180 
   19320418     848490 
   19320419    1032855 
   19320420     991162 
   19320421    1106210 
   19320422     915240 
   19320423     470970 
   19320425     640410 
   19320426     790090 
   19320427    1120140 
   19320428     924680 
   19320429    1164310 
   19320430     438980 
   19320502     776446 
   19320503     900510 
   19320504    1318950 
   19320505    1002806 
   19320506    1629720 
   19320507     638848 
   19320509     638177 
   19320510     738270 
   19320511     686960 
   19320512     919360 
   19320513     866525 
   19320514     600010 
   19320516    1306700 
   19320517     932894 
   19320518     683950 
   19320519     675280 
   19320520     767310 
   19320521     305170 
   19320523     557840 
   19320524     983297 
   19320525    1302142 
   19320526    1853160 
   19320527     901595 
   19320528     675473 
   19320531    1475520 
   19320601    1841508 
   19320602    1866981 
   19320603    1886573 
   19320604     998562 
   19320606     962085 
   19320607     833359 
   19320608     985680 
   19320609    1187380 
   19320610    1269820 
   19320611     809330 
   19320613     567673 
   19320614     755720 
   19320615    1155051 
   19320616     851245 
   19320617     786274 
   19320618     341080 
   19320620     388065 
   19320621     496870 
   19320622     606880 
   19320623     472220 
   19320624     772652 
   19320625     310496 
   19320627     767270 
   19320628     829985 
   19320629     630790 
   19320630     627045 
   19320701     605456 
   19320705     612690 
   19320706     727880 
   19320707     784401 
   19320708     720168 
   19320709     235060 
   19320711     596507 
   19320712     700176 
   19320713     979769 
   19320714     999315 
   19320715     807490 
   19320716     350180 
   19320718     612410 
   19320719     465320 
   19320720     627440 
   19320721     924820 
   19320722    1447855 
   19320723     368610 
   19320725    1546006 
   19320726    1497645 
   19320727    1700887 
   19320728    2734445 
   19320729    2101954 
   19320730     910850 
   19320801    2106756 
   19320802    1439270 
   19320803    2398614 
   19320804    3521030 
   19320805    2684060 
   19320806    2728430 
   19320808    5461150 
   19320809    3837660 
   19320810    4430300 
   19320811    4402410 
   19320812    3705890 
   19320813    1756690 
   19320815    1906290 
   19320816    3612185 
   19320817    2874420 
   19320818    1784920 
   19320819    2168170 
   19320820     661350 
   19320822    3175208 
   19320823    4571965 
   19320824    3691811 
   19320825    4169800 
   19320826    3117015 
   19320827    2201980 
   19320829    3926040 
   19320830    3294711 
   19320831    2997670 
   19320901    2419168 
   19320902    3487090 
   19320903    2440380 
   19320906    4362850 
   19320907    4153120 
   19320908    5370180 
   19320909    4036100 
   19320910    1498220 
   19320912    4049671 
   19320913    5102090 
   19320914    3248290 
   19320915    3142470 
   19320916    1914280 
   19320917     724520 
   19320919    1260215 
   19320920    1250830 
   19320921    4346410 
   19320922    3685040 
   19320923    2194590 
   19320924    1336170 
   19320926    2082970 
   19320927    1399070 
   19320928    1381800 
   19320929    1336420 
   19320930    1159060 
   19321001     338330 
   19321003    1002720 
   19321004    1240010 
   19321005    2952680 
   19321006    1944312 
   19321007    2302770 
   19321008    1533280 
   19321010    2281940 
   19321011    1745390 
   19321013    1228090 
   19321014    2028610 
   19321015     593510 
   19321017     770310 
   19321018    1020900 
   19321019    1303330 
   19321020    1055950 
   19321021    1241695 
   19321022     447820 
   19321024     551271 
   19321025     604160 
   19321026     860960 
   19321027     716602 
   19321028     692739 
   19321029     359820 
   19321031     384760 
   19321101     522135 
   19321102    1100790 
   19321103    1020150 
   19321104     969185 
   19321105     463010 
   19321107    1609950 
   19321109    1268260 
   19321110    1566910 
   19321111    2631780 
   19321112     888752 
   19321114    1307345 
   19321115    1048980 
   19321116     947435 
   19321117     709040 
   19321118     728290 
   19321119     385556 
   19321121     611916 
   19321122     534880 
   19321123    1201415 
   19321125    1002790 
   19321126     376005 
   19321128     540363 
   19321129     526475 
   19321130    1093071 
   19321201     756150 
   19321202     685600 
   19321203     399550 
   19321205     725219 
   19321206    1108658 
   19321207    1193869 
   19321208     704921 
   19321209    1180330 
   19321210     482705 
   19321212     923370 
   19321213     734548 
   19321214    1017684 
   19321215    1177192 
   19321216     916311 
   19321217     413644 
   19321219     917085 
   19321220     999932 
   19321221     729780 
   19321222    1297758 
   19321223     925908 
   19321224     329699 
   19321227     801578 
   19321228    1581670 
   19321229    1607289 
   19321230    1045224 
   19321231     539473 
   19330103     489010 
   19330104    1093088 
   19330105    1143905 
   19330106    1141910 
   19330109     932500 
   19330110    1148987 
   19330111    1617454 
   19330112     916072 
   19330113     833815 
   19330114     360910 
   19330116     868333 
   19330117     663735 
   19330118     687085 
   19330119     624040 
   19330120     707337 
   19330121     366377 
   19330123     664152 
   19330124     493201 
   19330125     751743 
   19330126     808880 
   19330127     972108 
   19330128     300075 
   19330130     476985 
   19330131     656590 
   19330201    1190640 
   19330202    1251870 
   19330203     906761 
   19330204     419840 
   19330206     670621 
   19330207     584745 
   19330208     723726 
   19330209    1080123 
   19330210     723441 
   19330211     344762 
   19330214    1541300 
   19330215     745603 
   19330216    1079872 
   19330217     653795 
   19330218     304630 
   19330220     858600 
   19330221     692160 
   19330223    1325403 
   19330224    1069280 
   19330225     987810 
   19330227    1253258 
   19330228     905960 
   19330301     787741 
   19330302    1003966 
   19330303    1413380 
   19330304 CLOSED     
   19330306 CLOSED     
   19330307 CLOSED     
   19330308 CLOSED     
   19330309 CLOSED     
   19330310 CLOSED     
   19330311 CLOSED     
   19330313 CLOSED     
   19330314 CLOSED     
   19330315    3065587 
   19330316    3300585 
   19330317    1726680 
   19330318     575850 
   19330320     778708 
   19330321    1208530 
   19330322     990810 
   19330323     979506 
   19330324     642870 
   19330325     376400 
   19330327     500590 
   19330328     600690 
   19330329     639669 
   19330330     624150 
   19330331     880845 
   19330401     447160 
   19330403     599940 
   19330404     721200 
   19330405    1144650 
   19330406    1226520 
   19330407     953855 
   19330408     439120 
   19330410    1759654 
   19330411    1434500 
   19330412     747960 
   19330413    1659970 
   19330415     958610 
   19330417    1005216 
   19330418    1434840 
   19330419    5087876 
   19330420    7127670 
   19330421    5214720 
   19330422    2275510 
   19330424    4805160 
   19330425    3504290 
   19330426    2914900 
   19330427    1880175 
   19330428    2163630 
   19330429    3389470 
   19330501    6052010 
   19330502    3897930 
   19330503    4644260 
   19330504    4590317 
   19330505    4996620 
   19330506    2094030 
   19330508    3200250 
   19330509    2229370 
   19330510    3818060 
   19330511    6163850 
   19330512    4556710 
   19330513    2273617 
   19330515    3151760 
   19330516    3291711 
   19330517    4794300 
   19330518    4112720 
   19330519    3275362 
   19330520    1300307 
   19330522    2223460 
   19330523    3143850 
   19330524    4707400 
   19330525    4008260 
   19330526    4346470 
   19330527    4311340 
   19330529    6953640 
   19330531    6076350 
   19330601    4753570 
   19330602    6877860 
   19330603    3587720 
   19330605    5008335 
   19330606    6216069 
   19330607    6641440 
   19330608    6356670 
   19330609    5310360 
   19330610    2786440 
   19330612    5812000 
   19330613    6303780 
   19330614    5548395 
   19330615    4892780 
   19330616    5710376 
   19330617    1567703 
   19330619    5481846 
   19330620    5542820 
   19330621    3891840 
   19330622    4374041 
   19330623    3314100 
   19330624    1696390 
   19330626    4528029 
   19330627    5642695 
   19330628    5506841 
   19330629    4593510 
   19330630    3673920 
   19330701    2791230 
   19330703    6715170 
   19330705    5802400 
   19330706    6541910 
   19330707    6972880 
   19330708    3007560 
   19330710    4837475 
   19330711    5237225 
   19330712    5185410 
   19330713    7451370 
   19330714    5226020 
   19330715    2242460 
   19330717    6380650 
   19330718    6585733 
   19330719    7449990 
   19330720    8117170 
   19330721    9572020 
   19330722    4224070 
   19330724    3415350 
   19330725    3538350 
   19330726    2039572 
   19330727    2461610 
   19330728    1390555 
   19330731    3085063 
   19330801    1784420 
   19330802    1727420 
   19330803    1509240 
   19330804     500000 
   19330807     765070 
   19330808    1232454 
   19330809    2562250 
   19330810    2821805 
   19330811    1342590 
   19330814    1222240 
   19330815     907200 
   19330816    1803760 
   19330817    2474420 
   19330818    2086700 
   19330821    1562309 
   19330822    1963685 
   19330823    2583490 
   19330824    1727000 
   19330825    3328410 
   19330828    2121539 
   19330829    3118200 
   19330830    2170860 
   19330831    1141710 
   19330901    1218830 
   19330905    1252730 
   19330906    1884910 
   19330907    1071590 
   19330908    1294930 
   19330909     279110 
   19330911    1917340 
   19330912    2243016 
   19330913     734930 
   19330914    2896170 
   19330915    2453460 
   19330916    1001160 
   19330918    2722010 
   19330919    2817640 
   19330920    2417210 
   19330921    3651894 
   19330922    3314920 
   19330923    1004748 
   19330925    1308810 
   19330926    1432010 
   19330927    2320236 
   19330928    1443990 
   19330929    1643950 
   19330930    1008380 
   19331002     959700 
   19331003     931820 
   19331004    2127285 
   19331005    1659140 
   19331006    1460900 
   19331007     602070 
   19331009    1246500 
   19331010    1135420 
   19331011    1027585 
   19331013    1265095 
   19331014     802460 
   19331016    2666652 
   19331017    2482850 
   19331018    1734020 
   19331019    2895835 
   19331020    2695020 
   19331021    1260160 
   19331023    2127440 
   19331024    2112990 
   19331025    2878340 
   19331026    1222940 
   19331027    1106790 
   19331028     376590 
   19331030    1465800 
   19331031    1128810 
   19331101    1142000 
   19331102    1123000 
   19331103    1499710 
   19331104     703910 
   19331106     685220 
   19331108    1803311 
   19331109    2902625 
   19331110    1365930 
   19331111     472180 
   19331113    1091235 
   19331114    2169470 
   19331115    1353990 
   19331116    2577260 
   19331117    2323820 
   19331118     577800 
   19331120    1894630 
   19331121    1800980 
   19331122    1574035 
   19331123    1370675 
   19331124    1420188 
   19331125     477917 
   19331127    1557099 
   19331128    1007461 
   19331129     752220 
   19331201     813227 
   19331202     336074 
   19331204     671354 
   19331205    2021797 
   19331206    1442413 
   19331207    1683737 
   19331208    1324870 
   19331209    1070210 
   19331211    2452830 
   19331212    1650102 
   19331213    1333374 
   19331214    1556125 
   19331215    1173022 
   19331216     896570 
   19331218    1342900 
   19331219    1024730 
   19331220    2163068 
   19331221    1021086 
   19331222    2419651 
   19331223     738215 
   19331226    1302892 
   19331227    3075823 
   19331228    1477520 
   19331229    1133253 
   19331230     751613 
   19340102    1267020 
   19340103    1383120 
   19340104    1188310 
   19340105    1054980 
   19340106     461920 
   19340108     715030 
   19340109     869402 
   19340110    1415170 
   19340111    1695470 
   19340112    1600580 
   19340113     749660 
   19340115    3743480 
   19340116    3444240 
   19340117    2848490 
   19340118    2126940 
   19340119    3542390 
   19340120    1954440 
   19340122    2663410 
   19340123    2383740 
   19340124    3356780 
   19340125    2267500 
   19340126    2506640 
   19340127    1199950 
   19340129    2784140 
   19340130    4237060 
   19340131    3105487 
   19340201    4712459 
   19340202    2872929 
   19340203    2081170 
   19340205    4940250 
   19340206    4330980 
   19340207    4499070 
   19340208    3199920 
   19340209    3337240 
   19340210    2187310 
   19340213    2060340 
   19340214    1938610 
   19340215    2975511 
   19340216    2769610 
   19340217    1164900 
   19340219    2346415 
   19340220    1219630 
   19340221    1899740 
   19340223    2289868 
   19340224    1223130 
   19340226    2187870 
   19340227    1270910 
   19340228    1322090 
   19340301    1241820 
   19340302    1480550 
   19340303     798820 
   19340305     951930 
   19340306     805900 
   19340307    1733810 
   19340308    1695980 
   19340309    1369725 
   19340310     571720 
   19340312    1258830 
   19340313    1274640 
   19340314    1359489 
   19340315    1341540 
   19340316    1168905 
   19340317     725500 
   19340319    1513290 
   19340320    1541790 
   19340321    1068880 
   19340322    1024560 
   19340323     759220 
   19340324     681510 
   19340326    1275170 
   19340327    1587010 
   19340328     843475 
   19340329    1021330 
   19340331     814510 
   19340402    1367730 
   19340403    1334755 
   19340404    1564200 
   19340405    1419110 
   19340406    1014440 
   19340407     549020 
   19340409     850075 
   19340410    1406192 
   19340411    1553300 
   19340412    1332330 
   19340413    1183140 
   19340414     501160 
   19340416    1290650 
   19340417     944275 
   19340418    1540350 
   19340419    1325000 
   19340420    1887380 
   19340421     902720 
   19340423    1113230 
   19340424    1273700 
   19340425     961380 
   19340426    1638845 
   19340427     842080 
   19340428     563630 
   19340430    1486590 
   19340501    1339380 
   19340502    1338424 
   19340503    1110190 
   19340504     840300 
   19340505     872920 
   19340507    2364090 
   19340508    1858520 
   19340509    1028360 
   19340510    2126120 
   19340511     995640 
   19340512    1110110 
   19340514    1681000 
   19340515     894110 
   19340516     717494 
   19340517    1286510 
   19340518     910830 
   19340519     249300 
   19340521     382190 
   19340522     830880 
   19340523     656630 
   19340524     495710 
   19340525     535340 
   19340526     279300 
   19340528     614680 
   19340529     379232 
   19340531     438420 
   19340601     626949 
   19340602     410110 
   19340604     357980 
   19340605     740800 
   19340606     664790 
   19340607     467460 
   19340608    1608090 
   19340609     703450 
   19340611     749300 
   19340612     945960 
   19340613     883435 
   19340614     632276 
   19340615     732530 
   19340616     576295 
   19340618     605200 
   19340619     850845 
   19340620     548535 
   19340621     529700 
   19340622     931900 
   19340623     233350 
   19340625     489320 
   19340626     617500 
   19340627     628910 
   19340628     639775 
   19340629     436395 
   19340630     189300 
   19340702     411950 
   19340703     401112 
   19340705     440556 
   19340706     457827 
   19340707     182050 
   19340709     315910 
   19340710     648610 
   19340711     648520 
   19340712     466070 
   19340713     533170 
   19340714     194330 
   19340716     589730 
   19340717     616620 
   19340718     490370 
   19340719     614150 
   19340720    1242675 
   19340721     619970 
   19340723    1877730 
   19340724    1594930 
   19340725    1347810 
   19340726    3338050 
   19340727    2212756 
   19340728     468900 
   19340730     805830 
   19340731     593450 
   19340801     778660 
   19340802     563530 
   19340803     464980 
   19340804     303790 
   19340806     782750 
   19340807     608530 
   19340808     692020 
   19340809    1417192 
   19340810     772510 
   19340811     310190 
   19340813     809100 
   19340814     531240 
   19340815     574530 
   19340816     610110 
   19340817     476980 
   19340818     164000 
   19340820     274550 
   19340821     579030 
   19340822    1295680 
   19340823     747580 
   19340824     746700 
   19340825     436700 
   19340827     534100 
   19340828     404220 
   19340829     761860 
   19340830     649650 
   19340831     400790 
   19340901     113060 
   19340904     309830 
   19340905     476030 
   19340906     603330 
   19340907     689680 
   19340908     211400 
   19340910     695990 
   19340911     631260 
   19340912     401420 
   19340913     415680 
   19340914     835485 
   19340915     344670 
   19340917     648490 
   19340918     534480 
   19340919     556760 
   19340920     486980 
   19340921     712010 
   19340922     283510 
   19340924     514310 
   19340925     841885 
   19340926     796430 
   19340927     798580 
   19340928     512230 
   19340929     222370 
   19341001     619900 
   19341002     370120 
   19341003     410105 
   19341004     608200 
   19341005     872150 
   19341006     230668 
   19341008     450860 
   19341009     772880 
   19341010     986970 
   19341011    1394660 
   19341013     414090 
   19341015     511076 
   19341016     677730 
