Date,Liquid Alternative Beta Index,Event Driven Liquid Index,Global Strategies Liquid Index,Long/Short Liquid Index,Managed Futures Liquid Index,Merger Arbitrage Liquid Index
2003/09/13,619.132764322341,607.741579670996,584.561010175984,627.878447196436,465.119783793795,691.215708041654
2003/09/12,621.372078328618,608.651990432574,584.870887438952,627.055711950032,461.919632154297,693.618119145404
2003/09/11,617.159380212942,606.203885591352,587.918902527517,626.091776751132,465.801033974646,690.844659119595
2003/09/10,617.610998585927,603.51435395326,587.232180429363,627.92016292339,463.756518284169,690.559667591093
2003/09/09,617.997510370636,603.819722866263,586.209980336583,625.350214091432,471.501145415208,690.758988154315
2003/09/08,616.200285771936,606.297017587465,585.659550113698,629.634954170895,469.330270213817,687.145784788771
2003/09/07,617.542253040671,603.154891442138,584.5782072359,624.697401710071,466.002589854824,687.512297002118
2003/09/06,614.75346161756,605.513896045591,583.421652066253,623.367041665454,467.889821963083,688.418158482333
2003/09/05,615.211758052061,603.183534729165,582.671381258632,626.230655498384,468.711554112659,690.367441613569
2003/09/04,618.890065401006,600.670617093037,580.306594185886,628.085141282614,468.64411741618,683.00747073304
2003/09/03,619.220131796836,603.534320913748,582.915110252191,628.146355855937,474.070384965831,681.961321938212
2003/09/02,615.877165972028,602.506498579794,581.453505804592,625.289896045383,469.576563146708,682.55694997672
2003/09/01,615.364102198587,599.467618866613,581.336394941749,620.422847172854,460.877839483173,682.707617821188
2003/08/31,611.912486315264,600.826049018809,584.59003095969,618.90339024011,462.793245704268,680.825364678537
2003/08/30,616.588633422385,600.528911337901,583.011922659304,618.705763953814,461.125737570934,684.189370750149
2003/08/29,614.847063478237,599.049952840714,580.285214193729,620.247113111898,461.793783944562,681.811245735693
2003/08/28,610.435372890751,600.628138423633,582.299859267035,620.849095729365,456.579866343105,683.44067463594
2003/08/27,608.732896127741,600.2624752103,576.748472500623,617.825429172745,459.592278894721,676.952891196589
2003/08/26,609.706860707392,595.408986113235,580.087036869733,619.055408846735,457.436964662428,680.998024375316
2003/08/25,609.24315024103,593.093650116673,581.233067257923,615.75966109214,459.916825277047,676.441681955173
