date,open,high,low,close,volume,vwap
2013-09-03 07:00:00,1646.0,1647.0,1642.5,1644.75,25524,1644.5627742516847
2013-09-03 08:00:00,1644.75,1646.75,1643.5,1646.0,32902,1645.301668591575
2013-09-03 09:00:00,1646.0,1650.0,1645.5,1646.5,256769,1647.9154492948915
2013-09-03 10:00:00,1646.75,1648.75,1643.75,1644.75,283344,1646.071462603761
2013-09-03 11:00:00,1644.75,1646.75,1636.25,1638.25,330767,1640.484445999752
2013-09-03 12:00:00,1638.25,1639.5,1633.25,1634.0,200792,1636.6928313877047
2013-09-03 13:00:00,1634.0,1635.5,1631.5,1632.5,179098,1633.5309272018671
2013-09-03 14:00:00,1632.5,1635.5,1630.75,1635.0,201063,1633.3791920940203
2013-09-03 15:00:00,1635.0,1639.5,1634.25,1637.75,317914,1637.139837345949
2013-09-03 16:00:00,1637.75,1640.0,1637.0,1638.5,97812,1638.0739249785302
2013-09-03 17:00:00,1638.75,1639.0,1637.5,1637.75,2012,1638.4137673956263
2013-09-03 18:00:00,1638.0,1638.0,1636.0,1637.75,6373,1637.0538992625138
2013-09-03 19:00:00,1637.75,1638.25,1636.75,1637.5,1766,1637.4813137032843
2013-09-03 20:00:00,1637.5,1638.0,1637.0,1637.25,1883,1637.5234997344662
2013-09-03 21:00:00,1637.5,1638.75,1637.0,1638.75,5838,1638.3419835560123
2013-09-03 22:00:00,1638.5,1638.75,1638.0,1638.5,2695,1638.4014842300558
2013-09-03 23:00:00,1638.5,1639.75,1638.25,1639.75,2966,1639.022420768712
2013-09-04 00:00:00,1639.75,1641.75,1639.5,1641.75,5117,1640.8038401407075
2013-09-04 01:00:00,1641.5,1642.25,1641.5,1641.75,4828,1641.8320215410108
2013-09-04 02:00:00,1642.0,1642.0,1640.5,1641.0,5950,1641.1200420168068
2013-09-04 03:00:00,1641.25,1641.75,1636.5,1637.25,25755,1638.1689380702776
2013-09-04 04:00:00,1637.5,1639.25,1636.0,1637.75,17668,1637.530648630292
2013-09-04 05:00:00,1637.75,1639.25,1636.25,1636.75,19617,1637.7520645358618
2013-09-04 06:00:00,1636.5,1639.0,1636.25,1638.75,15027,1637.9119085645837
2013-09-04 07:00:00,1638.5,1640.0,1637.5,1637.5,16538,1638.6623987181038
2013-09-04 08:00:00,1637.75,1638.0,1635.0,1637.0,34399,1636.6212898630774
2013-09-04 09:00:00,1637.0,1643.75,1635.25,1642.5,225401,1639.5524786935284
2013-09-04 10:00:00,1642.75,1648.0,1642.5,1647.5,251545,1646.0409340277088
2013-09-04 11:00:00,1647.5,1653.5,1647.0,1653.25,258648,1650.1065154186385
2013-09-04 12:00:00,1653.25,1653.75,1652.0,1652.5,127433,1652.678087700988
2013-09-04 13:00:00,1652.75,1654.75,1651.25,1652.0,126336,1653.2147527228976
2013-09-04 14:00:00,1652.0,1653.5,1650.75,1653.0,107388,1651.9632640518494
2013-09-04 15:00:00,1652.75,1654.25,1649.5,1651.75,252979,1651.446071610687
2013-09-04 16:00:00,1651.75,1654.5,1651.25,1654.5,83547,1652.7166953930123
2013-09-04 17:00:00,1654.25,1655.25,1654.25,1655.0,4567,1654.8154149332165
2013-09-04 18:00:00,1654.75,1655.0,1654.0,1654.25,2789,1654.5150591609895
2013-09-04 19:00:00,1654.5,1655.0,1654.0,1654.75,1870,1654.6363636363637
2013-09-04 20:00:00,1654.75,1654.75,1653.25,1653.75,4455,1653.877665544332
2013-09-04 21:00:00,1653.5,1654.0,1653.0,1653.25,3355,1653.5479880774963
2013-09-04 22:00:00,1653.25,1654.0,1653.0,1653.75,1927,1653.6424494032174
2013-09-04 23:00:00,1653.75,1654.25,1653.5,1653.75,1852,1653.9183315334774
2013-09-05 00:00:00,1654.0,1655.5,1653.75,1655.25,2556,1654.5688575899844
2013-09-05 01:00:00,1655.25,1655.75,1653.75,1654.25,4454,1654.7573529411766
2013-09-05 02:00:00,1654.25,1654.5,1652.25,1652.5,6990,1653.459799713877
2013-09-05 03:00:00,1652.5,1656.5,1652.0,1655.5,23609,1654.6916747850396
2013-09-05 04:00:00,1655.25,1656.0,1651.0,1653.0,33163,1653.2462985857733
2013-09-05 05:00:00,1652.75,1653.5,1650.5,1651.75,16432,1651.8669821080819
2013-09-05 06:00:00,1651.5,1654.5,1651.25,1653.5,18943,1652.8870295095815
2013-09-05 07:00:00,1653.5,1654.25,1652.0,1653.0,16490,1653.0579442086114
2013-09-05 08:00:00,1653.0,1656.0,1652.5,1654.0,44913,1654.2563511678134
2013-09-05 09:00:00,1654.0,1658.25,1651.25,1657.5,210586,1655.1178758322017
2013-09-05 10:00:00,1657.25,1658.0,1652.5,1653.0,235233,1655.332114329197
